document_id	page_id	paragraph_id	sentence_id	source_sentence	target_sentence
KUL/799EF6004500428CDACF4DF40E4D3257	2	1	1	裏表紙	裏表紙
KUL/799EF6004500428CDACF4DF40E4D3257	2	2	2	「左帖」	「左帖」
KUL/799EF6004500428CDACF4DF40E4D3257	2	2	3	御国民呂宋国支配内漂流記「右帖」	御国ルソン国支配内漂流記「右帖」
KUL/799EF6004500428CDACF4DF40E4D3257	3	2	4	朱印	朱印
KUL/799EF6004500428CDACF4DF40E4D3257	3	2	5	九州帝国大学印	九州帝国大学印
KUL/799EF6004500428CDACF4DF40E4D3257	3	2	6	「左帖」	「左帖」
KUL/799EF6004500428CDACF4DF40E4D3257	3	2	7	文字無し	文字なし
KUL/799EF6004500428CDACF4DF40E4D3257	3	3	8	「右帖」	「右帖」
KUL/799EF6004500428CDACF4DF40E4D3257	4	4	9	　序	序
KUL/799EF6004500428CDACF4DF40E4D3257	4	4	10	一此巻には明和四年呂宋支配内江漂流騎嶋唐泊の者死失之儀斗長崎御奉行所江御届一件や号拾六人の名元如左	この巻には、明和4年（1767年）にルソン国支配下の入江で漂流した騎嶋唐泊の者たちの死亡に関する事柄を、長崎奉行所へ届け出た一件「や号」として、十六人の名が左の通り記されている。
KUL/799EF6004500428CDACF4DF40E4D3257	4	4	11	死失御届に済分加米点	死亡届の手続きを済ませ、加米分に点を付す。
KUL/799EF6004500428CDACF4DF40E4D3257	4	4	12	騎嶋船頭	
KUL/799EF6004500428CDACF4DF40E4D3257	4	4	13	　文次郎　朱文　文化元年 子十二月廿四日　八十一歳	
KUL/799EF6004500428CDACF4DF40E4D3257	4	4	14	同水主	
KUL/799EF6004500428CDACF4DF40E4D3257	4	4	15	　八右衛門　朱文　安永七年同五月廿日　七十七同	
KUL/799EF6004500428CDACF4DF40E4D3257	4	4	16	　儀左衛門　朱文　安永九年子の六月廿六日　病死　六十歳同	
KUL/799EF6004500428CDACF4DF40E4D3257	4	4	17	　源次郎　朱文　文化十二年亥九月四日　病死　八十九歳同	
KUL/799EF6004500428CDACF4DF40E4D3257	4	4	18	　幸彦　朱文　文化元年子六月八日　病死同	
KUL/799EF6004500428CDACF4DF40E4D3257	4	4	19	　長藏　朱文　寛政三年亥十一月五日　病死	
KUL/799EF6004500428CDACF4DF40E4D3257	4	5	20	中段同	
KUL/799EF6004500428CDACF4DF40E4D3257	4	5	21	　庄次郎　朱文　寛政十年午五月四日　病死同	
KUL/799EF6004500428CDACF4DF40E4D3257	4	5	22	　弥蔵　朱文　安永五年七月晦日　病死同	
KUL/799EF6004500428CDACF4DF40E4D3257	4	5	23	　惣五郎　朱文　安永九年子の四月十一日　病死　五十三歳同	
KUL/799EF6004500428CDACF4DF40E4D3257	4	5	24	　十三郎　朱文　文化四年卯八月十八日　病死	
KUL/799EF6004500428CDACF4DF40E4D3257	4	6	25	唐泊水主	
KUL/799EF6004500428CDACF4DF40E4D3257	4	6	26	　次郎八　朱文　文化九年九月朔日　病死下段同	
KUL/799EF6004500428CDACF4DF40E4D3257	4	6	27	　利七　朱文　安永三年五月十八日　病死同	
KUL/799EF6004500428CDACF4DF40E4D3257	4	6	28	　徳之助　朱文　天明八年申二月十七日　病死同	
KUL/799EF6004500428CDACF4DF40E4D3257	4	6	29	　喜兵衛　朱文　安永二年八月二日　病死同	
KUL/799EF6004500428CDACF4DF40E4D3257	4	6	30	　長吉　朱文　天明三年五月十六日　病死	
KUL/799EF6004500428CDACF4DF40E4D3257	4	6	31	唐泊水主	
KUL/799EF6004500428CDACF4DF40E4D3257	4	6	32	　宗十郎　溺死　朱文　安永二年十一月廿七日	
KUL/799EF6004500428CDACF4DF40E4D3257	4	6	33	己上	
